Survived,Class,Sex,Age,Fare,SiblingsSpouses,ParentsChildren,embarked
0,3,M,22.0,7.25,1,0,S
1,1,F,38.0,71.2833,1,0,C
1,3,F,26.0,7.925,0,0,S
1,1,F,35.0,53.1,1,0,S
0,3,M,35.0,8.05,0,0,S
0,3,M,28.0,8.4583,0,0,Q
0,1,M,54.0,51.8625,0,0,S
0,3,M,2.0,21.075,3,1,S
1,3,F,27.0,11.1333,0,2,S
1,2,F,14.0,30.0708,1,0,C
1,3,F,4.0,16.7,1,1,S
1,1,F,58.0,26.55,0,0,S
0,3,M,20.0,8.05,0,0,S
0,3,M,39.0,31.275,1,5,S
0,3,F,14.0,7.8542,0,0,S
1,2,F,55.0,16.0,0,0,S
0,3,M,2.0,29.125,4,1,Q
1,2,M,28.0,13.0,0,0,S
0,3,F,31.0,18.0,1,0,S
1,3,F,28.0,7.225,0,0,C
0,2,M,35.0,26.0,0,0,S
1,2,M,34.0,13.0,0,0,S
1,3,F,15.0,8.0292,0,0,Q
1,1,M,28.0,35.5,0,0,S
0,3,F,8.0,21.075,3,1,S
1,3,F,38.0,31.3875,1,5,S
0,3,M,28.0,7.225,0,0,C
0,1,M,19.0,263.0,3,2,S
1,3,F,28.0,7.8792,0,0,Q
0,3,M,28.0,7.8958,0,0,S
0,1,M,40.0,27.7208,0,0,C
1,1,F,28.0,146.5208,1,0,C
1,3,F,28.0,7.75,0,0,Q
0,2,M,66.0,10.5,0,0,S
0,1,M,28.0,82.1708,1,0,C
0,1,M,42.0,52.0,1,0,S
1,3,M,28.0,7.2292,0,0,C
0,3,M,21.0,8.05,0,0,S
0,3,F,18.0,18.0,2,0,S
1,3,F,14.0,11.2417,1,0,C
0,3,F,40.0,9.475,1,0,S
0,2,F,27.0,21.0,1,0,S
0,3,M,28.0,7.8958,0,0,C
1,2,F,3.0,41.5792,1,2,C
1,3,F,19.0,7.8792,0,0,Q
0,3,M,28.0,8.05,0,0,S
0,3,M,28.0,15.5,1,0,Q
1,3,F,28.0,7.75,0,0,Q
0,3,M,28.0,21.6792,2,0,C
0,3,F,18.0,17.8,1,0,S
0,3,M,7.0,39.6875,4,1,S
0,3,M,21.0,7.8,0,0,S
1,1,F,49.0,76.7292,1,0,C
1,2,F,29.0,26.0,1,0,S
0,1,M,65.0,61.9792,0,1,C
1,1,M,28.0,35.5,0,0,S
1,2,F,21.0,10.5,0,0,S
0,3,M,28.5,7.2292,0,0,C
1,2,F,5.0,27.75,1,2,S
0,3,M,11.0,46.9,5,2,S
0,3,M,22.0,7.2292,0,0,C
1,1,F,38.0,80.0,0,0,S
0,1,M,45.0,83.475,1,0,S
0,3,M,4.0,27.9,3,2,S
0,1,M,14.118986815285895,27.7208,0,0,C
1,3,M,25.498971872868754,15.2458,1,1,C
1,2,F,29.0,10.5,0,0,S
0,3,M,19.0,8.1583,0,0,S
1,3,F,17.0,7.925,4,2,S
0,3,M,26.0,8.6625,2,0,S
0,2,M,32.0,10.5,0,0,S
0,3,F,16.0,46.9,5,2,S
0,2,M,21.0,73.5,0,0,S
0,3,M,26.0,14.4542,1,0,C
1,3,M,32.0,56.4958,0,0,S
0,3,M,25.0,7.65,0,0,S
0,3,M,28.0,7.8958,0,0,S
0,3,M,28.0,8.05,0,0,S
1,2,M,0.83,29.0,0,2,S
1,3,F,30.0,12.475,0,0,S
0,3,M,22.0,9.0,0,0,S
1,3,M,29.0,9.5,0,0,S
1,3,F,48.202005682120266,7.7875,0,0,Q
0,1,M,28.0,47.1,0,0,S
1,2,F,17.0,10.5,0,0,S
1,3,F,33.0,15.85,3,0,S
0,3,M,16.0,34.375,1,3,S
0,3,M,28.0,8.05,0,0,S
1,1,F,23.0,263.0,3,2,S
0,3,M,24.0,8.05,0,0,S
0,3,M,29.0,8.05,0,0,S
0,3,M,20.0,7.8542,0,0,S
0,1,M,46.0,61.175,1,0,S
0,3,M,26.0,20.575,1,2,S
0,3,M,59.0,7.25,0,0,S
